"","interests_correlate","d_interests_correlate"
"4325","-0.17","[-1-0]"
"4326","0.42","[0.33-1]"
"4327","0.34","[0.33-1]"
"4328","0.29","[0-0.33]"
"4329","0.38","[0.33-1]"
"4330","-0.02","[-1-0]"
"4331","-0.22","[-1-0]"
"4332","0.59","[0.33-1]"
"4333","0.54","[0.33-1]"
"4334","0.47","[0.33-1]"
"4335","0.65","[0.33-1]"
"4336","0.59","[0.33-1]"
"4337","0.6","[0.33-1]"
"4338","0.18","[0-0.33]"
"4339","0.38","[0.33-1]"
"4340","0.31","[0-0.33]"
"4341","0.43","[0.33-1]"
"4342","-0.39","[-1-0]"
"4343","0.56","[0.33-1]"
"4344","0.42","[0.33-1]"
"4345","0.68","[0.33-1]"
"4346","0","[-1-0]"
"4347","-0.07","[-1-0]"
"4348","0.09","[0-0.33]"
"4349","0.13","[0-0.33]"
"4350","0.23","[0-0.33]"
"4351","-0.3","[-1-0]"
"4352","-0.13","[-1-0]"
"4353","0.42","[0.33-1]"
"4354","0.42","[0.33-1]"
"4355","0.12","[0-0.33]"
"4356","0.53","[0.33-1]"
"4357","0.17","[0-0.33]"
"4358","0.5","[0.33-1]"
"4359","0.18","[0-0.33]"
"4360","0.32","[0-0.33]"
"4361","0.11","[0-0.33]"
"4362","0.27","[0-0.33]"
"4363","-0.37","[-1-0]"
"4364","0.48","[0.33-1]"
"4365","0.24","[0-0.33]"
"4366","0.34","[0.33-1]"
"4367","-0.37","[-1-0]"
"4368","-0.3","[-1-0]"
"4369","0.31","[0-0.33]"
"4370","0.4","[0.33-1]"
"4371","0.37","[0.33-1]"
"4372","0.38","[0.33-1]"
"4373","0.2","[0-0.33]"
"4374","0.74","[0.33-1]"
"4375","0.35","[0.33-1]"
"4376","0.53","[0.33-1]"
"4377","0.75","[0.33-1]"
"4378","0.51","[0.33-1]"
"4379","0.6","[0.33-1]"
"4380","0.31","[0-0.33]"
"4381","0.41","[0.33-1]"
"4382","0.52","[0.33-1]"
"4383","0.37","[0.33-1]"
"4384","-0.39","[-1-0]"
"4385","0.23","[0-0.33]"
"4386","0.73","[0.33-1]"
"4387","0.6","[0.33-1]"
"4388","0.42","[0.33-1]"
"4389","0.46","[0.33-1]"
"4390","-0.16","[-1-0]"
"4391","0.09","[0-0.33]"
"4392","0.09","[0-0.33]"
"4393","0.22","[0-0.33]"
"4394","-0.3","[-1-0]"
"4395","0.3","[0-0.33]"
"4396","0.43","[0.33-1]"
"4397","0.46","[0.33-1]"
"4398","0.47","[0.33-1]"
"4399","0.3","[0-0.33]"
"4400","0.62","[0.33-1]"
"4401","-0.2","[-1-0]"
"4402","0.4","[0.33-1]"
"4403","0.35","[0.33-1]"
"4404","0.28","[0-0.33]"
"4405","-0.12","[-1-0]"
"4406","0.4","[0.33-1]"
"4407","0.35","[0.33-1]"
"4408","0.38","[0.33-1]"
"4409","0.33","[0-0.33]"
"4410","-0.04","[-1-0]"
"4411","0.11","[0-0.33]"
"4412","-0.04","[-1-0]"
"4413","0.16","[0-0.33]"
"4414","-0.24","[-1-0]"
"4415","-0.23","[-1-0]"
"4416","0.42","[0.33-1]"
"4417","0.33","[0-0.33]"
"4418","0.32","[0-0.33]"
"4419","0.24","[0-0.33]"
"4420","0.28","[0-0.33]"
"4421","0.48","[0.33-1]"
"4422","-0.2","[-1-0]"
"4423","0.41","[0.33-1]"
"4424","-0.01","[-1-0]"
"4425","0.53","[0.33-1]"
"4426","-0.28","[-1-0]"
"4427","0.43","[0.33-1]"
"4428","0.21","[0-0.33]"
"4429","0.41","[0.33-1]"
"4430","-0.24","[-1-0]"
"4431","-0.12","[-1-0]"
"4432","0.47","[0.33-1]"
"4433","0.38","[0.33-1]"
"4434","0.27","[0-0.33]"
"4435","0.33","[0-0.33]"
"4436","-0.11","[-1-0]"
"4437","0.26","[0-0.33]"
"4438","0.08","[0-0.33]"
"4439","0.37","[0.33-1]"
"4440","0.4","[0.33-1]"
"4441","0.69","[0.33-1]"
"4442","0.31","[0-0.33]"
"4443","0.22","[0-0.33]"
"4444","0.05","[0-0.33]"
"4445","0.72","[0.33-1]"
"4446","0.29","[0-0.33]"
"4447","0.09","[0-0.33]"
"4448","0.06","[0-0.33]"
"4449","0.24","[0-0.33]"
"4450","0.31","[0-0.33]"
"4451","0.29","[0-0.33]"
"4452","0.47","[0.33-1]"
"4453","0.03","[0-0.33]"
"4454","0.46","[0.33-1]"
"4455","0.21","[0-0.33]"
"4456","-0.03","[-1-0]"
"4457","0.17","[0-0.33]"
"4458","0.26","[0-0.33]"
"4459","0.27","[0-0.33]"
"4460","0.5","[0.33-1]"
"4461","0.2","[0-0.33]"
"4462","0.5","[0.33-1]"
"4463","-0.25","[-1-0]"
"4464","-0.38","[-1-0]"
"4465","0.25","[0-0.33]"
"4466","0.55","[0.33-1]"
"4467","0.44","[0.33-1]"
"4468","0.21","[0-0.33]"
"4469","0.16","[0-0.33]"
"4470","0.19","[0-0.33]"
"4471","0.33","[0-0.33]"
"4472","0.17","[0-0.33]"
"4473","0.42","[0.33-1]"
"4474","0.14","[0-0.33]"
"4475","0.12","[0-0.33]"
"4476","0.19","[0-0.33]"
"4477","0.04","[0-0.33]"
"4478","-0.02","[-1-0]"
"4479","0.35","[0.33-1]"
"4480","0.31","[0-0.33]"
"4481","0.01","[0-0.33]"
"4482","0.53","[0.33-1]"
"4483","0.55","[0.33-1]"
"4484","-0.34","[-1-0]"
"4485","-0.06","[-1-0]"
"4486","0.08","[0-0.33]"
"4487","0.12","[0-0.33]"
"4488","0.27","[0-0.33]"
"4489","0.24","[0-0.33]"
"4490","0.14","[0-0.33]"
"4491","-0.13","[-1-0]"
"4492","-0.17","[-1-0]"
"4493","-0.13","[-1-0]"
"4494","0.16","[0-0.33]"
"4495","0.38","[0.33-1]"
"4496","0.53","[0.33-1]"
"4497","0.57","[0.33-1]"
"4498","-0.06","[-1-0]"
"4499","0.14","[0-0.33]"
"4500","-0.15","[-1-0]"
"4501","0.5","[0.33-1]"
"4502","0.34","[0.33-1]"
"4503","0.19","[0-0.33]"
"4504","0.45","[0.33-1]"
"4505","0.02","[0-0.33]"
"4506","-0.36","[-1-0]"
"4507","0.47","[0.33-1]"
"4508","0.28","[0-0.33]"
"4509","0.31","[0-0.33]"
"4510","0.65","[0.33-1]"
"4511","0.5","[0.33-1]"
"4512","0","[-1-0]"
"4513","0.24","[0-0.33]"
"4514","-0.02","[-1-0]"
"4515","0.34","[0.33-1]"
"4516","0.47","[0.33-1]"
"4517","0.25","[0-0.33]"
"4518","0.45","[0.33-1]"
"4519","-0.07","[-1-0]"
"4520","-0.26","[-1-0]"
"4521","0.25","[0-0.33]"
"4522","0.31","[0-0.33]"
"4523","0.03","[0-0.33]"
"4524","0.76","[0.33-1]"
"4525","0.3","[0-0.33]"
"4526","-0.17","[-1-0]"
"4527","0.4","[0.33-1]"
"4528","0.25","[0-0.33]"
"4529","0.26","[0-0.33]"
"4530","0.76","[0.33-1]"
"4531","0.59","[0.33-1]"
"4532","0.62","[0.33-1]"
"4533","0.33","[0-0.33]"
"4534","-0.15","[-1-0]"
"4535","0.55","[0.33-1]"
"4536","0.57","[0.33-1]"
"4537","0.24","[0-0.33]"
"4538","0.73","[0.33-1]"
"4539","0.07","[0-0.33]"
"4540","0.22","[0-0.33]"
"4541","0.54","[0.33-1]"
"4542","0.24","[0-0.33]"
"4543","0.32","[0-0.33]"
"4544","0.77","[0.33-1]"
"4545","0.52","[0.33-1]"
"4546","0.79","[0.33-1]"
"4547","0.11","[0-0.33]"
"4548","-0.03","[-1-0]"
"4549","0.64","[0.33-1]"
"4550","0.66","[0.33-1]"
"4551","0.31","[0-0.33]"
"4552","0.65","[0.33-1]"
"4553","0.31","[0-0.33]"
"4554","0.17","[0-0.33]"
"4555","0.36","[0.33-1]"
"4556","0.26","[0-0.33]"
"4557","0.48","[0.33-1]"
"4558","0.54","[0.33-1]"
"4559","0.36","[0.33-1]"
"4560","0.67","[0.33-1]"
"4561","0.15","[0-0.33]"
"4562","-0.11","[-1-0]"
"4563","0.63","[0.33-1]"
"4564","0.63","[0.33-1]"
"4565","-0.23","[-1-0]"
"4566","-0.3","[-1-0]"
"4567","-0.62","[-1-0]"
"4568","0.24","[0-0.33]"
"4569","-0.13","[-1-0]"
"4570","0.58","[0.33-1]"
"4571","0.16","[0-0.33]"
"4572","-0.13","[-1-0]"
"4573","0.1","[0-0.33]"
"4574","0.12","[0-0.33]"
"4575","0.13","[0-0.33]"
"4576","0.37","[0.33-1]"
"4577","-0.35","[-1-0]"
"4578","0.3","[0-0.33]"
"4579","0.43","[0.33-1]"
"4580","0.59","[0.33-1]"
"4581","0.17","[0-0.33]"
"4582","0.43","[0.33-1]"
"4583","0.55","[0.33-1]"
"4584","0.19","[0-0.33]"
"4585","0.51","[0.33-1]"
"4586","0.58","[0.33-1]"
"4587","0.48","[0.33-1]"
"4588","0.56","[0.33-1]"
"4589","0.21","[0-0.33]"
"4590","0.04","[0-0.33]"
"4591","0.8","[0.33-1]"
"4592","0.51","[0.33-1]"
"4593","0.11","[0-0.33]"
"4594","0.36","[0.33-1]"
"4595","0.07","[0-0.33]"
"4596","0.31","[0-0.33]"
"4597","0.13","[0-0.33]"
"4598","0.25","[0-0.33]"
"4599","0.63","[0.33-1]"
"4600","0.51","[0.33-1]"
"4601","0.41","[0.33-1]"
"4602","0.61","[0.33-1]"
"4603","0.31","[0-0.33]"
"4604","-0.27","[-1-0]"
"4605","0.49","[0.33-1]"
"4606","0.55","[0.33-1]"
"4607","0.19","[0-0.33]"
"4608","0.46","[0.33-1]"
"4609","0.19","[0-0.33]"
"4610","0.03","[0-0.33]"
"4611","0.1","[0-0.33]"
"4612","0.23","[0-0.33]"
"4613","0.59","[0.33-1]"
"4614","0.53","[0.33-1]"
"4615","0.38","[0.33-1]"
"4616","0.46","[0.33-1]"
"4617","0.35","[0.33-1]"
"4618","-0.26","[-1-0]"
"4619","0.45","[0.33-1]"
"4620","0.47","[0.33-1]"
"4621","0.39","[0.33-1]"
"4622","-0.22","[-1-0]"
"4623","0.1","[0-0.33]"
"4624","0","[-1-0]"
"4625","-0.21","[-1-0]"
"4626","-0.18","[-1-0]"
"4627","0.34","[0.33-1]"
"4628","-0.21","[-1-0]"
"4629","-0.39","[-1-0]"
"4630","-0.1","[-1-0]"
"4631","0.33","[0-0.33]"
"4632","-0.37","[-1-0]"
"4633","0.2","[0-0.33]"
"4634","-0.08","[-1-0]"
"4635","0.4","[0.33-1]"
"4636","0.34","[0.33-1]"
"4637","-0.21","[-1-0]"
"4638","0.28","[0-0.33]"
"4639","0.43","[0.33-1]"
"4640","0.36","[0.33-1]"
"4641","0.48","[0.33-1]"
"4642","0.39","[0.33-1]"
"4643","0.33","[0-0.33]"
"4644","0.31","[0-0.33]"
"4645","0.18","[0-0.33]"
"4646","-0.01","[-1-0]"
"4647","0.48","[0.33-1]"
"4648","0.4","[0.33-1]"
"4649","0.03","[0-0.33]"
"4650","0.44","[0.33-1]"
"4651","0.01","[0-0.33]"
"4652","0.38","[0.33-1]"
"4653","0.31","[0-0.33]"
"4654","0.03","[0-0.33]"
"4655","0.24","[0-0.33]"
"4656","0.31","[0-0.33]"
"4657","-0.23","[-1-0]"
"4658","0.43","[0.33-1]"
"4659","0.11","[0-0.33]"
"4660","0.19","[0-0.33]"
"4661","0.39","[0.33-1]"
"4662","0.4","[0.33-1]"
"4663","0.46","[0.33-1]"
"4664","0.21","[0-0.33]"
"4665","0.53","[0.33-1]"
"4666","0.53","[0.33-1]"
"4667","0.65","[0.33-1]"
"4668","0.76","[0.33-1]"
"4669","0.73","[0.33-1]"
"4670","0.65","[0.33-1]"
"4671","-0.3","[-1-0]"
"4672","0.59","[0.33-1]"
"4673","0.36","[0.33-1]"
"4674","0.46","[0.33-1]"
"4675","-0.22","[-1-0]"
"4676","0.34","[0.33-1]"
"4677","0.21","[0-0.33]"
"4678","0.16","[0-0.33]"
"4679","0.55","[0.33-1]"
"4680","0.57","[0.33-1]"
"4681","0.5","[0.33-1]"
"4682","0.3","[0-0.33]"
"4683","0.07","[0-0.33]"
"4684","0.31","[0-0.33]"
"4685","-0.62","[-1-0]"
"4686","0.17","[0-0.33]"
"4687","0.07","[0-0.33]"
"4688","0.19","[0-0.33]"
"4689","0.1","[0-0.33]"
"4690","-0.21","[-1-0]"
"4691","-0.03","[-1-0]"
"4692","0.19","[0-0.33]"
"4693","-0.34","[-1-0]"
"4694","-0.06","[-1-0]"
"4695","0","[-1-0]"
"4696","-0.17","[-1-0]"
"4697","0.22","[0-0.33]"
"4698","0.17","[0-0.33]"
"4699","0.24","[0-0.33]"
"4700","0.43","[0.33-1]"
"4701","0.31","[0-0.33]"
"4702","0.03","[0-0.33]"
"4703","0","[-1-0]"
"4704","0.28","[0-0.33]"
"4705","0.17","[0-0.33]"
"4706","0.33","[0-0.33]"
"4707","-0.06","[-1-0]"
"4708","0.14","[0-0.33]"
"4709","0.24","[0-0.33]"
"4710","0.4","[0.33-1]"
"4711","0.54","[0.33-1]"
"4712","0.36","[0.33-1]"
"4713","-0.13","[-1-0]"
"4714","0.55","[0.33-1]"
"4715","0.13","[0-0.33]"
"4716","0.1","[0-0.33]"
"4717","-0.21","[-1-0]"
"4718","0.43","[0.33-1]"
"4719","0.26","[0-0.33]"
"4720","0.17","[0-0.33]"
"4721","0.08","[0-0.33]"
"4722","-0.15","[-1-0]"
"4723","-0.02","[-1-0]"
"4724","0.25","[0-0.33]"
"4725","0.24","[0-0.33]"
"4726","0.26","[0-0.33]"
"4727","0.58","[0.33-1]"
"4728","0.19","[0-0.33]"
"4729","0.25","[0-0.33]"
"4730","0.23","[0-0.33]"
"4731","-0.18","[-1-0]"
"4732","0.36","[0.33-1]"
"4733","0.27","[0-0.33]"
"4734","0.42","[0.33-1]"
"4735","0.12","[0-0.33]"
"4736","0.5","[0.33-1]"
"4737","0.34","[0.33-1]"
"4738","0.26","[0-0.33]"
"4739","0.32","[0-0.33]"
"4740","0.48","[0.33-1]"
"4741","0.16","[0-0.33]"
"4742","0.51","[0.33-1]"
"4743","0.63","[0.33-1]"
"4744","0.59","[0.33-1]"
"4745","0.34","[0.33-1]"
"4746","0.48","[0.33-1]"
"4747","0.5","[0.33-1]"
"4748","0.14","[0-0.33]"
"4749","0.27","[0-0.33]"
"4750","0.34","[0.33-1]"
"4751","0.47","[0.33-1]"
"4752","0.76","[0.33-1]"
"4753","0.77","[0.33-1]"
"4754","0.54","[0.33-1]"
"4755","-0.13","[-1-0]"
"4756","0.58","[0.33-1]"
"4757","0.51","[0.33-1]"
"4758","0.53","[0.33-1]"
"4759","-0.21","[-1-0]"
"4760","0.39","[0.33-1]"
"4761","0.2","[0-0.33]"
"4762","0.12","[0-0.33]"
"4763","0.24","[0-0.33]"
"4764","0.19","[0-0.33]"
"4765","0.25","[0-0.33]"
"4766","0.59","[0.33-1]"
"4767","0.52","[0.33-1]"
"4768","0.36","[0.33-1]"
"4769","0.1","[0-0.33]"
"4770","0.48","[0.33-1]"
"4771","0.41","[0.33-1]"
"4772","0.38","[0.33-1]"
"4773","-0.39","[-1-0]"
"4774","0.33","[0-0.33]"
"4775","0.5","[0.33-1]"
"4776","0.19","[0-0.33]"
"4777","0.14","[0-0.33]"
"4778","0.45","[0.33-1]"
"4779","0.45","[0.33-1]"
"4780","0.62","[0.33-1]"
"4781","0.79","[0.33-1]"
"4782","0.67","[0.33-1]"
"4783","0.12","[0-0.33]"
"4784","0.56","[0.33-1]"
"4785","0.61","[0.33-1]"
"4786","0.46","[0.33-1]"
"4787","-0.1","[-1-0]"
"4788","0.31","[0-0.33]"
"4789","-0.25","[-1-0]"
"4790","0.04","[0-0.33]"
"4791","-0.13","[-1-0]"
"4792","0.02","[0-0.33]"
"4793","-0.07","[-1-0]"
"4794","0.33","[0-0.33]"
"4795","0.11","[0-0.33]"
"4796","0.15","[0-0.33]"
"4797","0.13","[0-0.33]"
"4798","0.21","[0-0.33]"
"4799","0.31","[0-0.33]"
"4800","0.35","[0.33-1]"
"4801","0.33","[0-0.33]"
"4802","0.18","[0-0.33]"
"4803","-0.38","[-1-0]"
"4804","-0.02","[-1-0]"
"4805","-0.17","[-1-0]"
"4806","-0.36","[-1-0]"
"4807","-0.26","[-1-0]"
"4808","-0.15","[-1-0]"
"4809","-0.03","[-1-0]"
"4810","-0.11","[-1-0]"
"4811","0.37","[0.33-1]"
"4812","0.04","[0-0.33]"
"4813","-0.27","[-1-0]"
"4814","-0.26","[-1-0]"
"4815","-0.37","[-1-0]"
"4816","-0.01","[-1-0]"
"4817","0.25","[0-0.33]"
"4818","0.35","[0.33-1]"
"4819","-0.13","[-1-0]"
"4820","0.47","[0.33-1]"
"4821","0.25","[0-0.33]"
"4822","0.55","[0.33-1]"
"4823","0.64","[0.33-1]"
"4824","0.63","[0.33-1]"
"4825","-0.35","[-1-0]"
"4826","0.8","[0.33-1]"
"4827","0.49","[0.33-1]"
"4828","0.45","[0.33-1]"
"4829","0.2","[0-0.33]"
"4830","0.48","[0.33-1]"
"4831","0.55","[0.33-1]"
"4832","0.31","[0-0.33]"
"4833","0.16","[0-0.33]"
"4834","0.28","[0-0.33]"
"4835","0.31","[0-0.33]"
"4836","0.57","[0.33-1]"
"4837","0.66","[0.33-1]"
"4838","0.63","[0.33-1]"
"4839","0.3","[0-0.33]"
"4840","0.51","[0.33-1]"
"4841","0.55","[0.33-1]"
"4842","0.47","[0.33-1]"
"4843","-0.08","[-1-0]"
"4844","0.4","[0.33-1]"
"4845","0.34","[0.33-1]"
"4846","0.47","[0.33-1]"
"4847","-0.17","[-1-0]"
"4848","0.18","[0-0.33]"
"4849","0.48","[0.33-1]"
"4850","0.57","[0.33-1]"
"4851","0.42","[0.33-1]"
"4852","?","[-1-0]"
"4853","?","[-1-0]"
"4854","0.33","[0-0.33]"
"4855","-0.33","[-1-0]"
"4856","-0.37","[-1-0]"
"4857","-0.06","[-1-0]"
"4858","0.49","[0.33-1]"
"4859","-0.07","[-1-0]"
"4860","0.51","[0.33-1]"
"4861","?","[-1-0]"
"4862","?","[-1-0]"
"4863","0.04","[0-0.33]"
"4864","-0.25","[-1-0]"
"4865","-0.26","[-1-0]"
"4866","-0.12","[-1-0]"
"4867","0.33","[0-0.33]"
"4868","0.15","[0-0.33]"
"4869","0.2","[0-0.33]"
"4870","?","[-1-0]"
"4871","?","[-1-0]"
"4872","0.37","[0.33-1]"
"4873","-0.05","[-1-0]"
"4874","-0.18","[-1-0]"
"4875","0.13","[0-0.33]"
"4876","0.63","[0.33-1]"
"4877","0.37","[0.33-1]"
"4878","0.63","[0.33-1]"
"4879","?","[-1-0]"
"4880","?","[-1-0]"
"4881","0.48","[0.33-1]"
"4882","-0.52","[-1-0]"
"4883","-0.11","[-1-0]"
"4884","0.18","[0-0.33]"
"4885","0.6","[0.33-1]"
"4886","-0.09","[-1-0]"
"4887","0.48","[0.33-1]"
"4888","?","[-1-0]"
"4889","?","[-1-0]"
"4890","0.54","[0.33-1]"
"4891","0.02","[0-0.33]"
"4892","-0.1","[-1-0]"
"4893","0.19","[0-0.33]"
"4894","0.65","[0.33-1]"
"4895","0.24","[0-0.33]"
"4896","0.75","[0.33-1]"
"4897","?","[-1-0]"
"4898","?","[-1-0]"
"4899","0.7","[0.33-1]"
"4900","0.21","[0-0.33]"
"4901","0.08","[0-0.33]"
"4902","0.59","[0.33-1]"
"4903","0.72","[0.33-1]"
"4904","0.38","[0.33-1]"
"4905","0.65","[0.33-1]"
"4906","?","[-1-0]"
"4907","?","[-1-0]"
"4908","0.74","[0.33-1]"
"4909","-0.08","[-1-0]"
"4910","0.12","[0-0.33]"
"4911","0.49","[0.33-1]"
"4912","0.73","[0.33-1]"
"4913","0.41","[0.33-1]"
"4914","0.72","[0.33-1]"
"4915","?","[-1-0]"
"4916","?","[-1-0]"
"4917","0.11","[0-0.33]"
"4918","0.08","[0-0.33]"
"4919","0.31","[0-0.33]"
"4920","0.31","[0-0.33]"
"4921","0.07","[0-0.33]"
"4922","0.41","[0.33-1]"
"4923","-0.35","[-1-0]"
"4924","?","[-1-0]"
"4925","?","[-1-0]"
"4926","0.31","[0-0.33]"
"4927","0.13","[0-0.33]"
"4928","-0.51","[-1-0]"
"4929","0.09","[0-0.33]"
"4930","0.74","[0.33-1]"
"4931","0.24","[0-0.33]"
"4932","0.43","[0.33-1]"
"4933","?","[-1-0]"
"4934","?","[-1-0]"
"4935","0.34","[0.33-1]"
"4936","0.33","[0-0.33]"
"4937","0.04","[0-0.33]"
"4938","0.37","[0.33-1]"
"4939","0.48","[0.33-1]"
"4940","0.54","[0.33-1]"
"4941","0.7","[0.33-1]"
"4942","0.74","[0.33-1]"
"4943","0.11","[0-0.33]"
"4944","0.31","[0-0.33]"
"4945","0.47","[0.33-1]"
"4946","-0.33","[-1-0]"
"4947","-0.25","[-1-0]"
"4948","-0.05","[-1-0]"
"4949","-0.52","[-1-0]"
"4950","0.02","[0-0.33]"
"4951","0.21","[0-0.33]"
"4952","-0.08","[-1-0]"
"4953","0.08","[0-0.33]"
"4954","0.13","[0-0.33]"
"4955","-0.17","[-1-0]"
"4956","-0.37","[-1-0]"
"4957","-0.26","[-1-0]"
"4958","-0.18","[-1-0]"
"4959","-0.11","[-1-0]"
"4960","-0.1","[-1-0]"
"4961","0.08","[0-0.33]"
"4962","0.12","[0-0.33]"
"4963","0.31","[0-0.33]"
"4964","-0.51","[-1-0]"
"4965","0.18","[0-0.33]"
"4966","-0.06","[-1-0]"
"4967","-0.12","[-1-0]"
"4968","0.13","[0-0.33]"
"4969","0.18","[0-0.33]"
"4970","0.19","[0-0.33]"
"4971","0.59","[0.33-1]"
"4972","0.49","[0.33-1]"
"4973","0.31","[0-0.33]"
"4974","0.09","[0-0.33]"
"4975","0.48","[0.33-1]"
"4976","0.49","[0.33-1]"
"4977","0.33","[0-0.33]"
"4978","0.63","[0.33-1]"
"4979","0.6","[0.33-1]"
"4980","0.65","[0.33-1]"
"4981","0.72","[0.33-1]"
"4982","0.73","[0.33-1]"
"4983","0.07","[0-0.33]"
"4984","0.74","[0.33-1]"
"4985","0.57","[0.33-1]"
"4986","-0.07","[-1-0]"
"4987","0.15","[0-0.33]"
"4988","0.37","[0.33-1]"
"4989","-0.09","[-1-0]"
"4990","0.24","[0-0.33]"
"4991","0.38","[0.33-1]"
"4992","0.41","[0.33-1]"
"4993","0.41","[0.33-1]"
"4994","0.24","[0-0.33]"
"4995","0.42","[0.33-1]"
"4996","0.51","[0.33-1]"
"4997","0.2","[0-0.33]"
"4998","0.63","[0.33-1]"
"4999","0.48","[0.33-1]"
"5000","0.75","[0.33-1]"
"5001","0.65","[0.33-1]"
"5002","0.72","[0.33-1]"
"5003","-0.35","[-1-0]"
"5004","0.43","[0.33-1]"
"5005","?","[-1-0]"
"5006","?","[-1-0]"
"5007","?","[-1-0]"
"5008","?","[-1-0]"
"5009","?","[-1-0]"
"5010","?","[-1-0]"
"5011","?","[-1-0]"
"5012","?","[-1-0]"
"5013","?","[-1-0]"
"5014","?","[-1-0]"
"5015","?","[-1-0]"
"5016","?","[-1-0]"
"5017","?","[-1-0]"
"5018","?","[-1-0]"
"5019","?","[-1-0]"
"5020","?","[-1-0]"
"5021","?","[-1-0]"
"5022","?","[-1-0]"
"5023","?","[-1-0]"
"5024","?","[-1-0]"
"5025","0.71","[0.33-1]"
"5026","0.49","[0.33-1]"
"5027","0.21","[0-0.33]"
"5028","-0.21","[-1-0]"
"5029","0.45","[0.33-1]"
"5030","0.55","[0.33-1]"
"5031","-0.16","[-1-0]"
"5032","0.56","[0.33-1]"
"5033","0.57","[0.33-1]"
"5034","-0.14","[-1-0]"
"5035","-0.23","[-1-0]"
"5036","0","[-1-0]"
"5037","-0.13","[-1-0]"
"5038","-0.15","[-1-0]"
"5039","-0.13","[-1-0]"
"5040","0.5","[0.33-1]"
"5041","-0.23","[-1-0]"
"5042","-0.2","[-1-0]"
"5043","0.47","[0.33-1]"
"5044","0.31","[0-0.33]"
"5045","0.15","[0-0.33]"
"5046","0","[-1-0]"
"5047","0.03","[0-0.33]"
"5048","0.06","[0-0.33]"
"5049","0.01","[0-0.33]"
"5050","0.53","[0.33-1]"
"5051","0.05","[0-0.33]"
"5052","-0.07","[-1-0]"
"5053","-0.52","[-1-0]"
"5054","-0.03","[-1-0]"
"5055","0.09","[0-0.33]"
"5056","-0.07","[-1-0]"
"5057","0.38","[0.33-1]"
"5058","0.41","[0.33-1]"
"5059","-0.01","[-1-0]"
"5060","0.04","[0-0.33]"
"5061","0.54","[0.33-1]"
"5062","0.62","[0.33-1]"
"5063","0.06","[0-0.33]"
"5064","-0.04","[-1-0]"
"5065","0.68","[0.33-1]"
"5066","0.62","[0.33-1]"
"5067","-0.15","[-1-0]"
"5068","0.16","[0-0.33]"
"5069","0.49","[0.33-1]"
"5070","0.06","[0-0.33]"
"5071","-0.07","[-1-0]"
"5072","0.28","[0-0.33]"
"5073","0.03","[0-0.33]"
"5074","0.18","[0-0.33]"
"5075","-0.07","[-1-0]"
"5076","0.48","[0.33-1]"
"5077","-0.47","[-1-0]"
"5078","-0.1","[-1-0]"
"5079","0.09","[0-0.33]"
"5080","0.41","[0.33-1]"
"5081","-0.11","[-1-0]"
"5082","-0.04","[-1-0]"
"5083","0.32","[0-0.33]"
"5084","0.36","[0.33-1]"
"5085","0.23","[0-0.33]"
"5086","0.17","[0-0.33]"
"5087","-0.06","[-1-0]"
"5088","0.22","[0-0.33]"
"5089","0.33","[0-0.33]"
"5090","-0.11","[-1-0]"
"5091","0.25","[0-0.33]"
"5092","0.52","[0.33-1]"
"5093","0.47","[0.33-1]"
"5094","-0.06","[-1-0]"
"5095","0.3","[0-0.33]"
"5096","0.44","[0.33-1]"
"5097","0.41","[0.33-1]"
"5098","0.07","[0-0.33]"
"5099","0.45","[0.33-1]"
"5100","0.18","[0-0.33]"
"5101","0.19","[0-0.33]"
"5102","0.19","[0-0.33]"
"5103","0.32","[0-0.33]"
"5104","0.32","[0-0.33]"
"5105","0.04","[0-0.33]"
"5106","0.19","[0-0.33]"
"5107","0.23","[0-0.33]"
"5108","-0.19","[-1-0]"
"5109","0.44","[0.33-1]"
"5110","-0.04","[-1-0]"
"5111","0.01","[0-0.33]"
"5112","0.02","[0-0.33]"
"5113","0.2","[0-0.33]"
"5114","0.59","[0.33-1]"
"5115","?","[-1-0]"
"5116","?","[-1-0]"
"5117","?","[-1-0]"
"5118","?","[-1-0]"
"5119","?","[-1-0]"
"5120","?","[-1-0]"
"5121","?","[-1-0]"
"5122","?","[-1-0]"
"5123","?","[-1-0]"
"5124","?","[-1-0]"
"5125","?","[-1-0]"
"5126","?","[-1-0]"
"5127","?","[-1-0]"
"5128","?","[-1-0]"
"5129","?","[-1-0]"
"5130","?","[-1-0]"
"5131","?","[-1-0]"
"5132","?","[-1-0]"
"5133","0.08","[0-0.33]"
"5134","0.48","[0.33-1]"
"5135","0.51","[0.33-1]"
"5136","0.09","[0-0.33]"
"5137","0.16","[0-0.33]"
"5138","0.21","[0-0.33]"
"5139","0.34","[0.33-1]"
"5140","0.52","[0.33-1]"
"5141","-0.19","[-1-0]"
"5142","0.02","[0-0.33]"
"5143","-0.31","[-1-0]"
"5144","-0.43","[-1-0]"
"5145","0.37","[0.33-1]"
"5146","-0.23","[-1-0]"
"5147","0.47","[0.33-1]"
"5148","0.56","[0.33-1]"
"5149","0.25","[0-0.33]"
"5150","0.22","[0-0.33]"
"5151","0.63","[0.33-1]"
"5152","0.53","[0.33-1]"
"5153","0.05","[0-0.33]"
"5154","-0.14","[-1-0]"
"5155","0.41","[0.33-1]"
"5156","0.56","[0.33-1]"
"5157","0.08","[0-0.33]"
